"filename", "language", "JSON", "Ignore", "JavaScript", "JSON with Comments", "Properties", "Markdown", "HTML", "CSS", "TypeScript", "TypeScript JSX", "SCSS", "XML", "comment", "blank", "total"
"d:\2023_2\DATN\web_page\src\components\PosTypography\PosTypography.style.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 3, 19
"d:\2023_2\DATN\web_page\src\components\PosTypography\TypographyCus.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 10, 119
"d:\2023_2\DATN\web_page\src\components\QuantityController\QuantityController.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 7, 101
"d:\2023_2\DATN\web_page\src\components\QuantityController\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"d:\2023_2\DATN\web_page\src\components\RegisterHeader\RegisterHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"d:\2023_2\DATN\web_page\src\components\RegisterHeader\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"d:\2023_2\DATN\web_page\src\components\checkbox copy\PosCheckbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 4, 26
"d:\2023_2\DATN\web_page\src\components\checkbox\PosCheckbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"d:\2023_2\DATN\web_page\src\components\dropdown\Dropdown.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 274, 0, 0, 7, 18, 299
"d:\2023_2\DATN\web_page\src\components\searchSuggest\SearchSuggest.style.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 149, 0, 0, 10, 4, 163
"d:\2023_2\DATN\web_page\src\components\searchSuggest\SearchSuggest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 167, 0, 0, 8, 15, 190
"d:\2023_2\DATN\web_page\src\components\textInput\TextInput.style.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 5, 67
"d:\2023_2\DATN\web_page\src\components\textInput\TextInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 2, 8, 70
"d:\2023_2\DATN\web_page\src\constants\config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"d:\2023_2\DATN\web_page\src\constants\httpStatusCodeEnnum.enum.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 2, 68
"d:\2023_2\DATN\web_page\src\constants\path.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"d:\2023_2\DATN\web_page\src\contexts\app.context.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 8, 70
"d:\2023_2\DATN\web_page\src\helpers\addressHelper.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 3, 42
"d:\2023_2\DATN\web_page\src\helpers\appAuthHelpers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"d:\2023_2\DATN\web_page\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"d:\2023_2\DATN\web_page\src\layouts\MainLayout\MainLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"d:\2023_2\DATN\web_page\src\layouts\MainLayout\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"d:\2023_2\DATN\web_page\src\layouts\RegisterLayout\RegisterLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"d:\2023_2\DATN\web_page\src\layouts\RegisterLayout\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2, 4
"d:\2023_2\DATN\web_page\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 1, 3, 28
"d:\2023_2\DATN\web_page\src\pages\Blogs\Blogs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 2, 5, 49
"d:\2023_2\DATN\web_page\src\pages\Blogs\components\BlogItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 4, 66
"d:\2023_2\DATN\web_page\src\pages\Checkout\CheckoutPage.style.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 10, 5, 172
"d:\2023_2\DATN\web_page\src\pages\Checkout\CheckoutPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 592, 0, 0, 16, 44, 652
"d:\2023_2\DATN\web_page\src\pages\Checkout\CheckoutValidate.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 36
"d:\2023_2\DATN\web_page\src\pages\Checkout\Components\VariantItems\VariantItem.style.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 3, 173
"d:\2023_2\DATN\web_page\src\pages\Checkout\Components\VariantItems\VariantItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 4, 51
"d:\2023_2\DATN\web_page\src\pages\Checkout\Components\dropdownSearchOption\DropdownSearchOption.style.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 0, 0, 14, 3, 173
"d:\2023_2\DATN\web_page\src\pages\Checkout\Components\dropdownSearchOption\DropdownSearchOption.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 12, 11, 222
"d:\2023_2\DATN\web_page\src\pages\Components\ItemProduct\ItemProduct.style.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 15, 4, 172
"d:\2023_2\DATN\web_page\src\pages\Components\ItemProduct\ItemProduct.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 162, 0, 0, 2, 14, 178
"d:\2023_2\DATN\web_page\src\pages\HomePage\HomePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 236, 0, 0, 12, 22, 270
"d:\2023_2\DATN\web_page\src\pages\HomePage\Homepage.style.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"d:\2023_2\DATN\web_page\src\pages\HomePage\components\DialogCart\CartDialog.style.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 2, 37
